title,price,taste,brand,description,spirit_style,state
Battlehill Glentauchers 10yr,69.99, Light . Maple . Amoroso . Complex ,Battlehill," Speyside, Scotland. Integral to Teacher's and Ballantine's blends, this is a classic Speyside malt - ripe tropical fruit and soft toffee on the nose; a palate of citrus and spice with a lingering finish. Aged 10 years in ex-bourbon cask, bottled at cask strength; rare to find as a malt. ",Single Malt,Speyside
Battlehill Glentauchers 6 Yr,49.99, Medium . Vanilla . Citrus . Cocoa . Balanced ,Battlehill," Speyside, Scotland - The nose opens with vanilla, kiwi, pears, and a few citrus notes. The palate is flavorful with oranges, nutty chocolate, and a hint of ginger. The finish is mouth coating and chewy with sweetness and more orange notes. Enjoy neat or with an added drop of water. ",Single Malt,Speyside
Battlehill Glentauchers 7 Yr,54.99, Delicate . Vanilla . Creamy . Balanced ,Battlehill," Speyside, Scotland - Traditionally a sweet and fruity single malt whisky, you will pick up hints of green apple and dried apricots. Medium-bodied with a lingering finish. Enjoy on the rocks or with a drop of water. ",Single Malt,Speyside
Battlehill Highland Park 18yr,127.99, Rich . Honey . Orange . Caramel . Balanced ,Battlehill," Scotland, Islands - A well-rounded single malt expression, the 18 year from Highland Park exalts those amazing flavors all whisky drinkers look for in a scotch. Equally shared notes of oak, peat, fruit, and spice, come together to create this delightful whisky. ",Single Malt,Highland
Battlehill Invergordon 10yr,49.99, Intense . Berry . Creamy . Balanced ,Battlehill," Highlands, Scotland. One of the few grain distilleries in the northern Highlands, Invergordon stands out for its balance of sweetness and freshness. While bottled at cask strength, this whisky is still soft and delicate but with unexpected intesity on the finish. Enjoy with a splash. ",Single Malt,Highland
Battlehill Invergordon 9 Yr,35.99, Medium . Creamy . Toffee . Mild ,Battlehill," Highlands, Scotland - Distilled in traditional Coffey stills, this whisky is unique in that is a single grain whiskey from the Highland region known for its single malts. The resulting whisky is light and floral with notes of pear and dried figs. ",Single Malt,Highland
Battlehill Islay Malt 16 Yr,149.99, Medium . Citrus . Smoke . Medicinal . Long ,Battlehill," Islay, Scotland - The nose opens with citrus fruit and light smoke and is followed by coastal smoke and creamy oak on the palate. There is a light medicinal taste mid-palate. The finish is long with hints of driftwood, more smoke and sweet vanilla. Enjoy neat or with a drop of water. ",Single Malt,Islay & Islands
Battlehill Jura 18 Yr,79.99, Intense . Orange . Sea Salt . Long ,Battlehill," Jura, Scotland- Hand selected barrel was carefully chosen by BattleHill; resiny, oil, light pine notes, orange zest, nutty with slight spice. Quite earthy with a salty tinge and a lovely malty finish. Enjoy neat. Double Gold Medal-San Francisco Spirits Competition. ",Single Malt,Islay & Islands
Battlehill Laphroaig 10 Yr,54.99, Rich . Smoke . Salt . Complex ,Battlehill," Islay, Scotland - With a salty aroma characteristic of the region from whence it came, this smokey single malt is a great example of an Islay whisky. Slightly fruity and with a medium finish. ",Single Malt,Speyside
Battlehill Longmorn 20 Year,99.99, Medium . Honey . Spice . Chocolate . Complex ,Battlehill," Speyside, Scotland - Very smooth, typically Speyside sweet. From an ex-bourbon cask this single malt has an apple, minty, slightly butter mouth feel. Very satisfying before, during and after a meal, especially served cold. ",Single Malt,Speyside
Battlehill Macallan 16 Yr 2014 Release,174.99, Rich . Fruit . Oak . Raisin . Balanced ,Battlehill," Highland, Scotland - The nose is very fruity and filled with the aroma of apples, oranges, and strawberries with a touch of cinnamon. The palate is sweet with hints of oak and chocolate orange. The finish is rich and reveals spiced oak and more chocolate orange flavors. Sip neat. ",Single Malt,Highland
Battlehill Macallan 17,239.99, Rich . Dried Fruit . Spice . Complex ,Battlehill," Highlands, Scotland - From one of the most well-known distilleries in Scotland, this 17 year old single malt is smooth and fruity with hints of chocolate and nutmeg, with a gentle and nutty finish. ",Single Malt,Highland
Battlehill Macduff 9yr,49.99, Light . Toffee . Chocolate . Pepper . Mild ,Battlehill," Scotland, Highlands - Sweet and tangy fruits like pear and green apples on the nose, with floral ginger and mint flavors on the palate that give way to gentle spice and nuttiness. Dry and spicy finish. ",Single Malt,Highland
Battlehill Miltonduff 10yr Sherry Cask,69.99, Medium . Sherry . Corn . Complex ,Battlehill," Speyside, Scotland. Robust and oily as a newmake whisky, most Miltonduff finds its way into Ballantines blends. Aged in sherry casks, medium-bodied with honeyed fruity on the nose. Toffee, mild oak and a hint of pepper on a well-balanced palate. Aged 11 years, hint of ginger on finish. ",Single Malt,Speyside
Battlehill Miltonduff 11yr,79.99, Intense . Medicinal . Mustard Seed . Long ,Battlehill," Speyside, Scotland. A key component of Ballantine's blends, Miltonduff is typically aged in sherry casks. This 10YR expression - a rarity - is primarily ex-bourbon cask - fresh, grassy, honesuckle on the nose. Bolder and sweeter than the sherry cask. Fruit and nuts on the palate. ",Single Malt,Speyside
Battlehill Miltonduff 31,279.99, Medium . Malt . Fruit . Complex ,Battlehill," Speyside, Scotland - Your nose will pick up honey, floral, and fruity notes on this well-aged single malt. The taste is sweet and fruity with a viscous mouthfeel and smooth finish. ",Single Malt,Speyside
Battlehill Miltonduff 7 Year,49.99, Intense . Floral . Citrus . Nut . Long ,Battlehill," Speyside, Scotland - This release is sweet, grassy, and floral with a hint of lemon. Slight maltiness and honey with a nutty finish. It is very pleasant for a younger whisky. ",Single Malt,Speyside
Battlehill Miltonduff 8 Yr,54.99, Rich . Sherry . Citrus . Balanced ,Battlehill," Speyside, Scotland - Also called ""Mosstowie"" by the locals, this distillery produces sweet and grassy whiskeys with a faint spicy aroma. Slightly meaty with notes of dried hops and cereal. Add a few drops of water to the dram to really open up the flavors. ",Single Malt,Speyside
Battlehill Mortlach 19yr,149.99, Rich . Spice . Dried Fruit . Long ,Battlehill," Speyside, Scotland- Aromas of vanilla, spices, coffee, peppermint, star anise, and cinnamon. On the palate, citrus zests, bittersweet oak, cinnamon, and honey mingle with nutmeg notes. Long, malty finish. ",Single Malt,Speyside
Battlehill North British 10yr,59.99, Medium . Medicinal . Nut . Long ,Battlehill," Lowlands, Scotland. Among grain whiskey producers, none has greater repute than North British - it's whisky is found in the world's best blends. 10-years old, sweet, and wonderfully round: highly approachable spirit. Nutty, vanilla nose; birthday cake and baking spice on the palate. ",Single Malt,Lowland
Battlehill North British 8 Yr,39.99, Light . Sweet . Berry . Mild ,Battlehill," Lowlands, Scotland - Often used to enhance some great blended scotches, the North British grain distillery also produces some very interesting single malts. This one in particular is herbal and floral, with aromas of fresh cut grass and flavors of mint and apple. ",Single Malt,Lowland
Battlehill Royal Brackla 13 year,69.99, Medium . Caramel . Fruit . Long ,Battlehill," Highlands, Scotland - Creamy and malty with flavors of vanilla, light coconut, apples, and pears. This whisky is an abundance of tastes and aromas. With the distillery site on Cawdor Estate, it's a favorite of the Royals! ",Single Malt,Highland
Battlehill Royal Brackla 5 Yr,44.99, Light . Vanilla . Sherry . Spice . Complex ,Battlehill," Highland, Scoland - Malty and fruity with a heavier mouthfeel then older single malts you'll find from this distillery. Light coconut notes, a hint of smoke, and light spice. ",Single Malt,Speyside
Battlehill Royal Brackla 6yr,49.99, Light . Caramel . Sweet . Herbal . Mild ,Battlehill," Scotland, Highlands - New-make single malts from this distillery are rich with malty and fruity character. Medium-bodied with notes of apple, pear, and light spiciness with just a hint of smoke. ",Single Malt,Highland
Battlehill Strathclyde 23 Year,99.99, Medium . Spice . Fruit . Long ,Battlehill," Lowlands, Scotland - The taste is light and sweet with a redolence of violets, bubblegum and of course bourbon overtones from the ex bourbon cask used in the maturation of this gorgeous grain whisky. ",Single Malt,Lowland
Battlehill Strathmill 22 Year,119.99, Medium . Sherry . Chocolate . Long ,Battlehill," Speyside, Scotland - Medium bodied with a slight citrusy mouth feel of oranges. This single malt has a lovely long fresh malty finish. With no official distillery bottlings, this is a rarity and to be savored by whisky drinkers and connoisseurs. ",Single Malt,Speyside
Battlehill Tomatin 8yr,46.99, Delicate . Fruit . Herbal . Sweet . Balanced ,Battlehill," Scotland, Highlands - Once the largest distillery in Scotland, Tomatin has long been a mass producer of scotch and only recently has been releasing single malt expressions. The nose is buttery and floral, with sweet fruit and herbs on the palate. ",Single Malt,Highland
Battlehill Tormore 7 Year,49.99, Medium . Citrus . Spice . Nut . Long ,Battlehill," Speyside, Scotland - A relatively unknown, but classic Speyside whisky. With aromas of malt and vanilla, the taste is of sweet sugary almonds, faint coconut and mild honey. An excellent release of a younger Speyside whisky. ",Single Malt,Speyside
Bellevoye Whisky,34.99, Light . Oak . Complex ,Bellevoye," France - A non-peated, triple distilled blend of three single malts from different regions of France: Brittany, Alsace and Cognac. Aged in new oak barrels in the Cognac region for 3-8 years. Complex and aromatic: hints of banana, cocoa butter, with caramelized vanilla. Delicious. ",Single Malt,
Ben Nevis Glencoe 8Yr Blended Malt,94.99,None,Ben Nevis," Scotland- Produced by Ben Nevis, this cask strength 8 year-old blended malt is highly regarded by the passionate whisky drinker. Despite this being offered at cask strength, the flavor notes include fresh, ripe fruit tones and vanilla sweetness on the front tongue. ",Blended Scotch,
BenRiach 10 Yr,52.99,None,BenRiach," Scotland- The cask formula focuses on ex-bourbon & sherry casks. This fresh, lively single malt captures warm oak spices, green apple, dried apricots, peach and banana with subtle touches of lemon & barley. 3rd place in best 10 year single malt scotch category at Int. Whiskey Comp. ",,
BenRiach 10Yr Curiositas,48.99, Rich . Peat . Oak . Spice . Long ,BenRiach," Speyside, Scotland- Heavily peated barley is used to produce a fruity, floral, heathery toned peaty malt with an oaky and spicy finish. This is a dram to be savoured with a dash of water. ",Single Malt,Speyside
BenRiach 12yr,55.99, Rich . Honey . Vanilla . Floral . Balanced ,BenRiach," Speyside, Scotland- Mid-amber, hints of gold. Honey, vanilla, floral, fruity with well balanced wood overtones. Rounded medium to full bodied, rich honey, vanilla with hints of cream, spice and chocolate. ",Single Malt,Speyside
BenRiach 15 Yr Sherry Wood,84.99, Intense . Peat . Smoke . Long ,BenRiach," Speyside, Scotland- The nose is huge in peat and spice. On the palate, an avalanche of smoke and peat combine with a balance of spices, cream, pineapples and coconut, with a beautiful oak wood counterpoint. Full character. Smooth and round. ",Single Malt,
BenRiach 16 Yr,78.99,None,BenRiach," Speyside, Scotland- Mid-amber, hints of gold in color. The nose is honey, vanilla, floral and fruity with well-balanced wood overtones. A rounded medium to full-bodied palate holds hints of rich honey, vanilla, cream, spices, toffee and apples. ",Single Malt,
BenRiach 20 Yr,179.99,None,BenRiach," Speyside, Scotland- Mid-amber, hints of gold. The nose holds spicy, nutty, honey, vanilla, floral and fruity overtones, leading to a rounded medium to full-bodied palate filled with rich honey and vanilla. ",Single Malt,Speyside
BenRiach Cask Strength Batch 2,83.99,None,BenRiach," Speyside, Scotland- Our Whisky Maker, Rachel Barrie, picked each cask used in Batch 2 for its flavor, bourbon barrels, virgin oak casks and Oloroso sherry casks. The whisky from these casks has then been vatted together to create a skilfully balanced Single Malt. ",Single Malt,Speyside
BenRiach Heart of Speyside Single Malt,36.49,None,BenRiach," Speyside, Scotland- A beautiful single malt that captures the essence of fruit, honey and heather with a balance of spice and oak for a fresh and lively combination that can be best enjoyed on its own. ",Single Malt,
BenRiach Peated Port 12yr,99.99,None,BenRiach," Speyside, Scotland- Each year, our Master Distiller selects a small number of these casks to bottle as part of our Single Cask Batch series. This series is peated and featues a port wood finish. ",Single Malt,Speyside
BenRiach Virgin Oak 10yr,83.99,None,BenRiach," Speyside, Scotland- Each year, our Master Distiller selects a small number of these casks to bottle as part of our Single Cask Batch series. This series featues a a virgin oak wood finish. ",Single Malt,Speyside
Benrinnes 21 Yr,439.99, Intense . Spice . Chocolate . Balanced ,Benrinnes," Speyside, Scotland - The entry is just as big as the first whiff, with some darker, slightly burnt dried fruits now. Allspice and chocolate too, still fairly dense and savory though. Enjoy! ",Single Malt,
Benromach 10Yr,63.99, Rich . Oak . Sherry . Caramel . Balanced ,Benromach," Speyside, Scotland- Rich sherry influence with fruit, nut and cinnamon spice. Water brings out a charred oak influence and malt, slightly nutty with pineapple and kiwi. Mouth coating with toasted malt. Lingering sweet sherry and delicate peat smoke. Oloroso sherry for the final year. ",Single Malt,Speyside
Benromach 15 Yr,114.99,None,Benromach,,Single Malt,Speyside
Benromach 1974,1899.99,None,Benromach," Speyside, Scotland- Golden amber in color with opulent sherry influences infused with plump sultana, sharp green apple, and zesty orange peel flavors. Rich underlying hints of beeswax, menthol, and dark chocolate. ",Single Malt,Speyside
Benromach 1976,1149.99,None,Benromach," Speyside, Scotland- Fruity aromas of apricot, pink grapefruit, and orange. The body builds with notes of milk chocolate, ginger, pepper, leather, and tobacco with accents of nuttiness and sherry. Long finish with beautiful tobacco notes and lingering fruit and spice. ",Single Malt,Speyside
Benromach 21 Yr,129.99, Intense . Vanilla . Toast . Oak . Long ,Benromach," Speyside, Scotland. Bright gold. Sweet, fruits - peaches and nectarines. Hints of toasted malt and a green leafy aroma. Sweet, sherrywood flavors with some charred oak. A rich, elegant Speyside malt with rounding sherry influence. ",Single Malt,Speyside
Benromach Organic Scotch,79.99, Rich . Vanilla . Orange . Balanced ,Benromach," Speyside, Scotland- Charred oak aromas with fresh fruit notes. An earthy, toasted aroma also present. Malty sweet, vanilla and toffee flavors with hints of green apples and orange peel with a rich resinous note. A fresh, vibrant whisky with strong Virgin American Oak Cask influence. ",Single Malt,Speyside
Benromach Peat Smoke,89.99, Intense . Smoke . Sherry . Long ,Benromach," Speyside, Scotland- Fruity nose with a hint of flowers. Body has flavors of light cream, with a lightly smoky palate and a sherryish flavor. The finish is clean, light and nutty. ",Single Malt,Speyside
Benromach Traditional Scotch,48.99, Rich . Peat . Spice . Fruit . Balanced ,Benromach," Speyside, Scotland- Balanced and unique. Notes of vanilla cream, honey, and tropical fruit are peppered with nuances of peat, smoke, herbs, and pine. Youthful, vibrant finish. Casks: 80% Bourbon, 20% Sherry. ",Single Malt,Speyside
Berry Brothers & Rudd Speyside Reserve,49.99, Rich . Fruit . Nut . Balanced ,Berrys'," Speyside, Scotland - Whiskey Magazine named Berry's two time Independent Bottler of the Year. A grassy nose, with hints of fruits and a delicate peatiness. Palate delivers bursts of fresh fruit, honey and subtle toasted nuts. A lingering peaty finish. Enjoy neat or on the rocks. ",Single Malt,Speyside
Berrys' 40 Year Blend,299.99, Rich . Balanced ,Berrys'," Scotland - This exceptional 40 year-old blend has been crafted by Berrys' cask masters from some of their rarest matured malt and grain reserves. The result is a Scotch whisky with intense fruit and spice, subsiding gently to reveal a delicately peaty finish. ",Blended Scotch,
Berrys' Allt A Bhainne 18 Yr,119.99, Rich . Fruit . Vanilla . Coconut . Balanced ,Berrys'," Speyside, Scotland - Fruit and vanilla aromas come to the fore as some coconut emerges. There is a delicate peatiness in the background. The palate builds nicely with plenty of fruitiness and rich sweet grassy notes. The finish brings a little spice into play. Enjoy! ",Single Malt,Speyside
Berrys' Allt a Bhainne 21yr Single Malt Scotch Whisky,129.99, Rich . Complex ,Berrys'," Speyside, Scotland - Fruit and vanilla aromas come to the fore as some coconut emerges. There is a delicate peatiness in the background. The palate builds nicely with plenty of fruitiness and rich sweet grassy notes. The finish brings a little spice into play. ",Single Malt,Speyside
Berrys' Ardmore 8yr,59.99, Rich . Peat . Fruit . Long ,Berrys'," Highlands, Scotland - The nose gives some butterscotch mingled with leather and gentle peat-smoke. The palate offers more peat-smoke carried by fresh yellow fruit skins, a hint of banana and melon. Lingering and decidedly peaty. ",Single Malt,Highland
Berrys' Auchentoshan 21 Yr,139.99, Delicate . Fruit . Mild ,Berrys'," Lowlands, Scotland - One of the few distilleries in the region, it is the only one in the Lowlands still using triple-distillation, giving the whisky a delicate smoothness that becomes floral and citric as it ages. ",Single Malt,Lowland
Berrys' Auchentoshan 24 Yr,209.99, Intense . Herbal . Honey . Citrus . Complex ,Berrys'," Lowland, Scotland - Matured for 24 years in a rare cask reserve. The nose gives grassy cereal notes with citrus and herbs. The palate has honey and menthol. There is a little licorice and treacle toffee evident on the finish. Enjoy! ",Single Malt,Lowland
Berrys' Auchroisk 24yr,139.99, Medium . Fruit . Barley . Balanced ,Berrys'," Speyside, Scotland - First distilled in 1974, Auchroisk has a classic fruity style often associated with whisky from the area. It is possible to pick up aromas of ripe melon, well woven sweet barley and balancing oak notes. The pallet is smoot while the finish is fruity and lingering ",Single Malt,Speyside
Berrys' Aultmore 11yr,89.99, Delicate . Chocolate . Coconut . Complex ,Berrys'," Speyside, Scotland - Exclusive bottling from Great Britain's oldest wine and spirits merchant. Grassy, with sweet fruit aromas of citrus and peaches. Herbal and spicy on the palate. Medium finish with coffee and chocolate notes. ",Single Malt,Speyside
Berrys' Ben Nevis 17 Yr,119.99, Intense . Creamy . Malt . Fruit . Balanced ,Berrys'," Highland, Scotland - The nose eventually gives some deep peat-smoke overlaying the fruit notes which emerge given a little time. The palate has a creamy texture that carries the full malty and fruity flavors well. The fine whisky has a rich intensity and great poise. Enjoy! ",Single Malt,Highland
Berrys' Benrinnes 16yr,109.99, Intense . Honey . Peat . Long ,Berrys'," Speyside, Scotland - This deeply scented whisky gives a complex array of notes including fresh red apples and some tropical fruits. The palate is chewy with nice honey notes and a delicate peaty trace which lingers on into the finish. ",Single Malt,Speyside
Berrys' Benrinnes 17yr,99.99, Rich . Nut . Fruit . Spice . Long ,Berrys'," Speyside, Scotland - Deep nutty aromas dominate initially. There is a jammy intense fruit that emerges to give quince and bruised apples.The palate is unctuous with bags of apples, yellow fruit and citrus.The finish is long, lingering,sweet and spicy. ",Single Malt,Speyside
Berrys' Bladnoch 26yr,199.99, Light . Fruit . Honey . Long ,Berrys'," Lowlands, Scotland - This fine Lowlander has a beautifully perfumed soft and yet deep-set fruitiness. The palate offers lemongrass zest with honey and nougat. The finish is lingering with elegant soft fruitiness. ",Single Malt,Lowland
Berrys' Blair Athol 22 Yr,159.99, Delicate . Fruit . Spice . Oak . Complex ,Berrys'," Highland, Scotland - Lemon grass and mint aromas emerge with fresh apples and green melons. The palate has a creamy texture with a balance of oak tannin, spice and fresh fruit. This is a very fine old Highland whisky. Enjoy! ",Single Malt,Highland
Berrys' Bruichladdich 20yr Single Malt Scotch Whisky,119.99, Rich . Honey . Nut . Sea Brine . Long ,Berrys'," Islay, Scotland - Bruichladdich is by Islay standards a gentler sort of Malt Whisky although it carries traits of the Island's noted peaty, saline style and is no lightweight in terms of balance and complexity. ",Single Malt,Islay & Islands
Berrys' Bunnahabhain 24yr Single Malt Scotch Whisky,179.99, Rich . Vanilla . Caramel . Long ,Berrys'," Islay, Scotland - Bunnahabhain is described as being sweeter and less smoky than the other Islay whiskies, with a smooth initial palate and long full finish. Lighter in peatiness than most Islay whiskies, with a full round flavor. ",Single Malt,Islay & Islands
Berrys' Bunnahabhain 25yr,154.99, Rich . Fruit . Smoke . Balanced ,Berrys'," Islay, Scotland - Bunnahabhain translates as ""mouth of the river"" from the gaelic, for the Margadale which flows into the Sound of Islay near to the distillery. The nose is beautifully perfumed with exotic fruits, wood spice and honey. The palate has a faint drift of smokiness. ",Single Malt,Islay & Islands
Berrys' Bunnahabhain 26 Yr,199.99, Rich . Fruit . Smoke . Honey . Long ,Berrys'," Islay, Scotland - The nose is beautifully perfumed with exotic fruits, wood spice and honey. The palate is rich and sinewy with more exotic fruit and a faint drift of smokiness in the background. The finish is long and savory. ",Single Malt,Islay & Islands
Berrys' Bunnahabhain 27yr,269.99, Light . Tropical Fruit . Peat . Long ,Berrys'," Islay, Scotland - This wonderfully perfumy aged whisky combines exotic fruit aromas with a soft hint of peatiness. The palate delivers more of the same with restrained smoothness. The finish is gentle and long. ",Single Malt,Islay & Islands
Berrys' Bunnahabhain 7 Yr,69.99, Rich . Fruit . Chocolate . Honey . Complex ,Berrys'," Islay, Scotland - To the nose peat-smoke obviates with earthy and herbal qualities. The palate is mature beyond its relative youth, quite muscular with smoky, peppery infusions and the initially quieter fruity notes developing nicely. the finish is long and long. Enjoy! ",Single Malt,Islay & Islands
Berrys' Caperdonich 19yr,119.99, Medium . Apple . Tropical Fruit . Honey . Complex ,Berrys'," Speyside, Scotland - Caperdonich was built as an extension to the Glen Grant distillery in the town of Rothes. When the decision was made to knock down Caperdonich we all lost a piece of Scotland's whisky heritage. ",Single Malt,Speyside
Berrys' Fettercairn 11yr,84.99, Intense . Walnut . Smoke . Complex ,Berrys'," Highlands, Scotland - Very few independent bottlings exist from this distillery. A soft, flavorful whisky with a lengthy finish. Slightly smoky aroma with notes of sherry and ginger. Toffee and citrus on the tongue. ",Single Malt,Highland
Berrys' Glen Elgin 21yr,139.99, Rich . Citrus . Almond . Long ,Berrys'," Speyside, Scotland - There is a rich, sweet orange citrus aroma with sweet barley notes, some vanilla and almonds, all of which are trademark elements of Glen Elgin whisky. The fruitiness amplifies on the palate cut by citrus acidity and gentle spice. The finish is long and lingering. ",Single Malt,Speyside
Berrys' Glen Garioch 23yr,129.99, Delicate . Grass . Fruit . Smoke . Complex ,Berrys'," Highlands, Scotland- The nose gives soft grassy notes with underlying fruit skins and a gentle smoke. The smokiness is evident early and is carried along on a fruity carpet. This is a classy old whisky with great poise. ",Single Malt,Highland
Berrys' Glen Garioch 25 Year,169.99, Medium . Fruit . Smoke . Complex ,Berrys'," Highlands, Scotland - Founded in the 18th centruy, this distillery in the eastern part of Scotland produces medium-bodied whiskys that get even more delicate as they age. Tastes smoky with hints of ginger and toffee. ",Single Malt,Highland
Berrys' Glen Grant 20yr Single Malt Scotch Whisky,89.99, Delicate . Fruit . Honey . Mild ,Berrys'," Speyside, Scotland - Glen Grant was the first distillery to be built in the town of Rothes, situated in the heart of Speyside. The Whisky is highly regarded by blenders and malt enthusiasts alike. When allowed to reach mature years the results can be truly memorable. ",Single Malt,Speyside
Berrys' Glen Grant 22yr,179.99, Delicate . Butterscotch . Cedar . Long ,Berrys'," Speyside, Scotland - Hints of ginger, dried fruit, and brown sugar on the nose. A smooth whisky, with soft toffee, cherry, and licorice notes. Medium-finish featuring dark chocolate and nuts. Aged to perfection. ",Single Malt,Speyside
Berrys' Glen Keith 24yr,199.99, Rich . Coconut . Plum . Long ,Berrys'," Speyside, Scotland - Grassy nose with hints of dried fruit. Smooth and creamy mouthfeel, you'll get notes of sherry and spice that mature into chocolate cake sweetness. Long, dry finish. ",Single Malt,Speyside
Berrys' Glen Moray 20yr,114.99, Medium . Floral . Spice . Balanced ,Berrys'," Speyside, Scotland - Glen Moray distillery began life as a brewery in 1828 but was convertedin 1897. The nose of the whisky is spicy and floral with slight smokiness, The finish is smooth and rich. ",Single Malt,Speyside
Berrys' Glen Moray 27yr,219.99, Medium . Apple . Clove . Balanced ,Berrys'," Speyside, Scotland - The nose is fresh and vibrant with apple skins, polished oak and soft confected honey notes. The palate develops with a distinctive burst of cloves and some lovely liquorice traces. ",Single Malt,Speyside
Berrys' Glen Moray 9yr,59.99, . Balanced ,Berrys'," Speyside, Scotland - This very fine single malt bottled from 1st fill bourbon barrels exudes lots of banana and melon skin notes with a delicate grassiness. The palate is buttery and well textured with a lingering fruity finish. ",Single Malt,Speyside
Berrys' Glen Ord 8 Yr,69.99, Medium . Fruit . Sweet . Long ,Berrys'," Highlands, Scotland - Typical to the Highland style, this whisky has a distinct waxy mouthfeel with diverse tastes from fruit to chocolate to almonds. It has a chewy texture, medium body, and a long finish. ",Single Malt,Highland
Berrys' Glen Spey 12yr Single Malt Scotch Whisky,69.99, Delicate . Spice . Honey . Mild ,Berrys'," Speyside, Scotland - Glen Spey distillery was converted from its original use as an oat mill in 1878 and traded under the name ""Mill of Rothes"" . The distillery draws its water from the Rothes burn. The stills are fitted with purifiers which leads to a lighter style of spirit. ",Single Malt,Speyside
Berrys' Glen Spey 1992,179.99, Intense . Butterscotch . Dried Fruit . Smoke . Complex ,Berrys'," Speyside, Scotland - Due to the length of time spent in wood, this Speyside malt is spicy and nutty with cereal notes. Look for notes of honey and ripe fruit. Medium-bodied with a soft finish. ",Single Malt,Speyside
Berrys' Glen Spey 24yr,139.99, Medium . Wood . Spice . Grass . Balanced ,Berrys'," Speyside, Scotland - This fine Speysider has considerable depth, giving wood-spice, sweet grassy aromas, liquorice and cold tea. The silky palate delivers a buttery texture, honey notes with soft ripe fruit and some citrus acidity. The finish is smooth, lingering and gently spicy. ",Single Malt,Speyside
Berrys' Glentauchers 21yr,149.99, Light . Blackberry . Cedar . Complex ,Berrys'," Speyside, Scotland - Exclusive bottling from Great Britain's oldest wine and spirits merchant. Rich vanilla nose yields to smooth, caramel and nutmeg on the palate. Notes of oak and walnuts abound. ",Single Malt,Speyside
Berrys' Invergordon Grain 27 Yr,199.99, Light . Butterscotch . Creamy . Balanced ,Berrys'," Highlands, Scotland - Look for cinnamon, oak, and toffee on the nose of this Highland grain whisky. Tastes of fudge and caramel and you'll get a rich, spicy finish. Enjoy neat or with a couple drops of water to enhance the flavors. ",Single Malt,Highland
Berrys' Islay Reserve,62.99, Intense . Sea Salt . Peat . Long ,Berrys'," Islay, Scotland - Independent Bottler of the Year 2010, 2011. A fine Blended Scotch Islay Whiskey with aromas of salt breeze, peat-smoke and leather. A medicinal palate with dry smoke notes is well balanced with fruit. Finish is long with hints of pepper. Enjoy neat or on the rocks. ",Single Malt,Islay & Islands
Berrys' Laphroaig 18 Yr,219.99, Intense . Smoke . Long ,Berrys'," Islay, Scotland - Although not the most heavily-peated of the Islay malts, Laphroaig is arguably the most pungent. You may get coal, tar, and iodine on the nose but yet the taste is surprisingly sweet. ",Single Malt,Islay & Islands
Berrys' Linkwood 11yr,89.99, Delicate . Almond . Butterscotch . Long ,Berrys'," Speyside, Scotland - Grassy nose with hints of rose petal. Walnuts come through on the tongue which turns sweet with chocolate and coconut notes. The finish is long and dry. ",Single Malt,Speyside
Berrys' Linkwood 14 Yr,79.99, Delicate . Smoke . Sweet . Almond . Balanced ,Berrys'," Speyside, Scotland - Fruit and floral aromas abound with peach skin and vanilla coming to the fore. The delicately smoky palate has a balanced and complex feel, building to deliver nectarine, sugared almonds with sweet floral intensities toward the elegant finish. ",Single Malt,Speyside
Berrys' Linkwood 15yr Single Malt Scotch Whisky,74.99, Delicate . Smoke . Nut . Balanced ,Berrys'," Speyside, Scotland - The picturesque Linkwood distillery, founded in 1821, is one of the Speyside regions hidden gems. The Victorian buildings remain despite much updating and expansion during the 1960s and 70s. ",Single Malt,Speyside
Berrys' Littlemill 21 Yr,129.99, Rich . Fruit . Chocolate . Honey . Complex ,Berrys'," Lowlands, Scotland - The nose gives white chocolate and peach skins with traces of ginger, cinnamon and delicate peat. The palate comes alive with nectarines and more white chocolate as the mouth-feel fattens to release some honey and lemon. Enjoy on or off the rocks! ",Single Malt,Lowland
Berrys' Littlemill 22yr Single Malt Scotch Whisky,129.99, Delicate . Fruit . Smoke . Mild ,Berrys'," Lowlands, Scotland - Littlemill distillery was founded at Bowling to the east of Glasgow on the banks of the river Clyde in the 1770s and once laid claim to being Scotlands oldest distillery. It was dismantled in 1997 and the remaining buildings destroyed by a fire in 2004. ",Single Malt,Lowland
Berrys' Miltonduff 20yr,119.99, Light . Spice . Fruit . Creamy . Balanced ,Berrys'," Speyside, Scotland - Fresh and bright vanilla driven aromas prevail with summer fruits and some marzipan notes seeping through. The palate is fat with creamy, oily texture but cut by some spicy notes to produce a nicely balanced dram with substantial character. ",Single Malt,Speyside
Berrys' Miltonduff 33 Yr,389.99, Medium . Grass . Fruit . Nut . Balanced ,Berrys'," Speyside, Scotland - This is a medium-bodied whisky from a distillery known primarily for its quality in blended whiskys, making this single malt a rare find! You'll notice the smooth texture that features a sweet and fragrant flavor. ",Single Malt,Speyside
Berrys' North British 20yr,109.99, Delicate . Dried Fruit . Nut . Balanced ,Berrys'," Lowlands, Scotland - This 20 year old Single Grain Whisky has been matured in refilled sherry butts. This influence is readily picked up on the nose with some marmalade notes, dried fruit and nut shells. The palate offers rich bursts of fruity sweetness with background coffee grounds. ",Single Malt,Lowland
