,title,price,avg_rating,taste,score,brand,description,spirit_style,state,taste_list
472,Craigellachie 17 Year,149.99,-1.0,None,-1,Craigellachie," Scotland- Distilled with oil-fired kiln malt and cooled in rare worm tub containers to bestow the spirit with unparalleled flavor. This Speyside Single Malt Whisky is of unusual and challenging character, best appreciated in a glass of your choosing, served in your own way. ",Single Malt,Speyside,['none']
473,Craigellachie 23 Yr,259.99,-1.0, Rich . Peat . Oak . Balanced ,-1,Craigellachie," Speyside, Scotland - Not for the faint hearted, this is a single malt for those who can handle big flavor. If you've cracked Peaty malts, now it's time for Craigellachie! Sip neat and enjoy! ",Single Malt,,"[' rich', 'peat', 'oak', 'balanced ']"
474,Creag Isle 12Yr Island Single Malt,32.99,-1.0, Intense . Smoke . Peat . Oak . Long ,-1,Creag Isle," Islands, Scotland - Sweet with a noticeable hint of peat, the Creag Isle 12 Year Old is a complex and inviting single malt. Grass and honey notes combine with smoke and wood tonality, evoking tastes of a summer barbecue. ",Single Malt,Islay & Islands,"[' intense', 'smoke', 'peat', 'oak', 'long ']"
475,Creag Isle 25Yr Islay Single Malt,179.99,-1.0, Rich . Sweet . Smoke . Vanilla . Complex ,-1,Creag Isle," Islay, Scotland - A subtle yet ever-present hint of smoke survived 25 years of careful rest in used oak barrels. The resulting single malt is sweet and round, with vanilla, dried fruit, and light salty notes. ",Single Malt,Islay & Islands,"[' rich', 'sweet', 'smoke', 'vanilla', 'complex ']"
476,Creag Isle Blended Islay Malt,24.99,-1.0, Medium . Grass . Smoke . Barley . Complex ,-1,Creag Isle," Islay, Scotland - A blend of robust and flavorful single malts from across Islay, the Creag Isle Blended Malt is a perfect representation of all this Scotch-producing region has to offer. Peat and sea salt are enveloped in light smokiness as they move across the palate. ",Single Malt,Islay & Islands,"[' medium', 'grass', 'smoke', 'barley', 'complex ']"
477,Cutty Sark,15.49,4.4, Delicate . Oak . Vanilla . Mild ,-1,Cutty Sark," Scotland- Pale golden, clear and bright. Aroma is light and fragrant with hints of vanilla and oak. Medium intensity taste, with sweet creamy vanilla. Finishes crisp and clean. ",Blended Scotch,,"[' delicate', 'oak', 'vanilla', 'mild ']"
478,Cutty Sark Prohibition Edition,27.99,4.5,None,-1,Cutty Sark," Scotland- Buttery caramel aromas with hints of vanilla, sticky toffee and spice in the background. Malty and slightly sweet flavor of honey, butterscotch and vanilla with notes of orange. Finishes long and sweet. Enjoy neat! ",Blended Scotch,,['none']
479,Cutty Sark Tam O'Shanter,289.99,-1.0, Rich . Sherry . Chocolate . Balanced ,-1,Cutty Sark," Scotland- Includes a fantastic book with over 50 illustrated scenes by the late Alexander Goudie. The whisky itself is rich with aromas of jasmine, anise and sandalwood followed by vanilla candle wax, fruitcake and honey. Enjoy the full-bodied sherry sweet, dark chocolate combination. ",Blended Scotch,,"[' rich', 'sherry', 'chocolate', 'balanced ']"
480,D. Taylor Kinnoir Auchindoun 8 YO,49.99,-1.0, Light . Oak . Vanilla . Apple . Mild ,-1,Duncan Taylor," Speyside, Scotland - A very unique offering, this is a blended malt from only Speyside single malts aged at least 8 years. With an array of flavors, this is sweet and buttery, with green apples and subtle vanilla hints. ",Single Malt,Speyside,"[' light', 'oak', 'vanilla', 'apple', 'mild ']"
481,D. Taylor Octave Aultmore 2008 6YO,79.99,-1.0, Medium . Almond . Cedar . Balanced ,-1,Duncan Taylor," Speyside, Scotland - This distillery has traditionally made liquid used in the top blended whiskys in Scotland but has recently been producing some very high quality single malts. Delicate and fruity with light cereal and citrus notes. ",Single Malt,Speyside,"[' medium', 'almond', 'cedar', 'balanced ']"
482,D. Taylor Octave Aultmore 2008 7YO,89.99,-1.0, Medium . Citrus . Malt . Sherry . Balanced ,-1,Duncan Taylor," Speyside, Scotland - This distillery has traditionally made liquid used in the top blended whiskys in Scotland but has recently been producing some very high quality single malts. Sweet and dry with notes of butterscotch. ",Single Malt,Speyside,"[' medium', 'citrus', 'malt', 'sherry', 'balanced ']"
483,D. Taylor Octave Ben Nevis 1999 15YO,129.99,-1.0, Medium . Sweet . Vanilla . Oak . Balanced ,-1,Duncan Taylor," Highlands, Scotland - Located in the western Highland region, this distillery produces smoky, sweet malts. The creamy texture will bring with it hints of dark chocolate and cooked fruit. ",Single Malt,Highland,"[' medium', 'sweet', 'vanilla', 'oak', 'balanced ']"
484,D. Taylor Octave Craigellachie 2008 7YO,79.99,-1.0, Light . Herbal . Grass . Pepper . Balanced ,-1,Duncan Taylor," Speyside, Scotland - This whisky has been sought after for use in blends due to its big, meaty flavor that also brings a smoky and fruity aroma. Full-bodied and sweet with light acidity. ",Single Malt,Speyside,"[' light', 'herbal', 'grass', 'pepper', 'balanced ']"
485,D. Taylor Octave Glenallachie 2008 7YO,109.99,-1.0, Medium . Citrus . Spice . Creamy . Balanced ,-1,Duncan Taylor," Speyside, Scotland - A newer distillery producing blends and single malts known for being clean and fresh. This light to medium-bodied scotch tastes of fruit and esters with a little bit of spice. ",Single Malt,Speyside,"[' medium', 'citrus', 'spice', 'creamy', 'balanced ']"
486,D. Taylor Octave Glenburgie 2008 6YO,84.99,-1.0, Medium . Oak . Malt . Apple . Complex ,-1,Duncan Taylor," Speyside, Scotland - A first class distillery in Scotland, Glenburgie produces a soft, sweet, and fruity whisky that is often used in high-quality blends. Light-bodied and complex with hints of raisin and nut. ",Single Malt,Speyside,"[' medium', 'oak', 'malt', 'apple', 'complex ']"
487,D. Taylor Octave Miltonduff 2008 7YO,74.99,-1.0, Rich . Nut . Oak . Chocolate . Complex ,-1,Duncan Taylor," Speyside, Scotland - Single malt releases from this distillery are rare due to its sought-after blending qualities. Medium-bodied and complex, you're sure to taste fruits and nuts in this sweet, smooth whisky. ",Single Malt,Speyside,"[' rich', 'nut', 'oak', 'chocolate', 'complex ']"
488,D. Taylor Octave Mortlach 1996 18YO,199.99,-1.0, Medium . Creamy . Fruit . Vanilla . Balanced ,-1,Duncan Taylor," Speyside, Scotland - Mortlach was the first distillery in the Dufftown region of Speyside. Uses a partial triple-distillation which produces an oily, vibrant whisky. Tastes of chocolate and toasted almonds. ",Single Malt,Speyside,"[' medium', 'creamy', 'fruit', 'vanilla', 'balanced ']"
